2016-11-15 22:25:03.040 INFO  DefaultFactory Logging to 'C:\Projects\MicroserviceDemoV1\src\OrderService.Server\bin\Debug\' with level Info
2016-11-15 22:25:03.437 INFO  NServiceBus.LicenseManager Trial for Particular Service Platform is still active, trial expires on 11/29/16.
2016-11-15 22:25:03.513 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'MADHAVABHYA9D19\madhav' to group 'Performance Monitor Users' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Performance Monitor Users" "MADHAVABHYA9D19\madhav" /add
2016-11-15 22:25:05.488 INFO  NServiceBus.Features.QueuePermissions Queue [private$\error] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-15 22:25:05.539 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-15 22:25:05.599 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-15 22:25:05.609 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-11-15 22:25:05.626 INFO  NServiceBus.Features.QueuePermissions Queue [private$\OrderService.Server.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-15 22:25:05.693 INFO  NServiceBus.Features.QueuePermissions Queue [private$\OrderService.Server.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-15 22:25:05.720 INFO  NServiceBus.Features.QueuePermissions Queue [private$\OrderService.Server.Retries] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-11-15 22:25:05.756 INFO  NServiceBus.Features.QueuePermissions Queue [private$\OrderService.Server] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
